record_id,year,month,quarter,country,area_type,ev_brand,ev_model,ev_type,vehicle_segment,buyer_type,price_usd,government_incentive_type,incentive_amount_usd,effective_price_usd,range_km,battery_capacity_kwh,primary_charging_type,charging_time_hours,charging_station_access,annual_mileage_km,electricity_cost_per_km_usd,co2_savings_kg_per_year,resale_value_pct_3yr,adas_level,adoption_reason,previous_vehicle_type,top_concern_before_buying,customer_gender,customer_age_group,customer_satisfaction,would_recommend
EV0004901,2023,11,Q4,USA,Urban,BYD,Seal,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,29873,None,0,29873,57,21.5,DC Fast Charging,1.3,Average,17817,0.034,511,62.5,Level 2,Government Incentive,Petrol/Gasoline ICE,None/No Concern,Male,45-54,Satisfied,No
EV0004902,2021,5,Q2,UK,Rural,BYD,Han,Battery Electric Vehicle (BEV),Van/MPV,Individual,29312,Tax Credit,6037,23275,281,58.7,Home Charging,10.6,Average,8374,0.02,3708,49.3,Level 0,Environmental Concern,Hybrid,Charging Infrastructure,Male,55-64,Satisfied,Yes
EV0004903,2023,10,Q4,USA,Urban,Nissan,Ariya,Plug-in Hybrid (PHEV),SUV,Individual,36305,Tax Credit,7333,28972,118,24.9,Workplace Charging,4.3,Poor,31010,0.099,1738,65.3,Level 2,Government Incentive,Diesel ICE,Charging Infrastructure,Male,25-34,Very Satisfied,Yes
EV0004904,2021,10,Q4,Netherlands,Rural,Hyundai,Kona Electric,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,49749,Direct Subsidy,3919,45830,486,109.3,DC Fast Charging,0.4,Excellent,9553,0.033,2174,79.7,Level 3,Performance,Petrol/Gasoline ICE,High Price,Male,35-44,Neutral,Maybe
EV0004905,2023,7,Q3,India,Suburban,Ford,E-Transit,Plug-in Hybrid (PHEV),Hatchback,Fleet/Corporate,32282,Multiple Incentives,18734,13548,114,22.4,Workplace Charging,7.3,Excellent,11607,0.067,1101,75.2,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Battery Life,Female,35-44,Very Satisfied,Yes
EV0004906,2020,3,Q1,UAE,Suburban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,30909,Free Charging,1244,29665,459,62.0,Supercharger Network,1.0,Poor,8017,0.068,3794,56.7,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Neutral,Yes
EV0004907,2021,1,Q1,UK,Urban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,45850,Reduced Registration Fee,803,45047,643,62.2,Public AC Charging,3.4,Poor,16137,0.029,3370,64.7,Level 3,Brand Image,Diesel ICE,None/No Concern,Male,35-44,Satisfied,Yes
EV0004908,2022,2,Q1,Sweden,Urban,Nissan,Leaf,Battery Electric Vehicle (BEV),Sedan,Individual,29146,Direct Subsidy,7075,22071,329,65.9,Public AC Charging,4.8,Excellent,14670,0.078,3080,74.9,Level 2+,Technology Appeal,Petrol/Gasoline ICE,High Price,Male,65+,Satisfied,No
EV0004909,2024,7,Q3,Australia,Urban,Rivian,R1S,Battery Electric Vehicle (BEV),Sedan,Individual,70703,Free Charging,873,69830,419,58.8,Home Charging,8.7,Good,7319,0.112,1591,70.8,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,45-54,Satisfied,Yes
EV0004910,2021,6,Q2,France,Urban,Tesla,Cybertruck,Hybrid Electric (HEV),Sedan,Individual,46435,Reduced Registration Fee,2012,44423,45,1.1,Public AC Charging,5.3,Average,11185,0.072,800,53.7,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Male,55-64,Neutral,No
EV0004911,2023,4,Q2,Australia,Urban,BYD,Dolphin,Hybrid Electric (HEV),Hatchback,Fleet/Corporate,21572,Direct Subsidy,4767,16805,40,4.4,Home Charging,8.1,Good,13457,0.094,711,48.4,Level 1,Environmental Concern,First Vehicle,High Price,Male,55-64,Very Satisfied,Yes
EV0004912,2023,4,Q2,USA,Suburban,Nissan,Ariya,Battery Electric Vehicle (BEV),Luxury,Fleet/Corporate,49140,Direct Subsidy,7288,41852,515,97.8,Workplace Charging,4.4,Excellent,8930,0.026,2924,65.0,Level 2,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Prefer not to say,25-34,Very Satisfied,Maybe
EV0004913,2024,7,Q3,Norway,Suburban,BMW,i4,Battery Electric Vehicle (BEV),SUV,Individual,70234,Direct Subsidy,14645,55589,598,81.5,DC Fast Charging,1.1,Good,11148,0.027,2245,66.9,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,18-24,Satisfied,Maybe
EV0004914,2022,9,Q3,Germany,Urban,Audi,e-tron GT,Battery Electric Vehicle (BEV),Pickup Truck,Individual,87519,Multiple Incentives,10171,77348,547,46.8,DC Fast Charging,0.9,Excellent,16497,0.057,3873,67.2,Level 3,Government Incentive,Diesel ICE,Charging Infrastructure,Male,35-44,Neutral,Yes
EV0004915,2024,10,Q4,China,Rural,Renault,Kangoo E-Tech,Battery Electric Vehicle (BEV),Luxury,Rental Company,43562,Tax Credit,4175,39387,229,95.2,Public AC Charging,5.9,Very Poor,13772,0.084,4459,47.6,Level 1,Corporate Policy,Another EV,Battery Life,Female,55-64,Satisfied,Yes
EV0004916,2023,4,Q2,UK,Suburban,BYD,Han,Hybrid Electric (HEV),Sedan,Government,26922,Reduced Registration Fee,703,26219,26,3.1,Home Charging,8.7,Average,19712,0.024,284,71.9,Level 3,Government Incentive,Diesel ICE,Battery Life,Male,45-54,Very Satisfied,Yes
EV0004917,2024,6,Q2,India,Suburban,Nissan,Ariya,Battery Electric Vehicle (BEV),SUV,Individual,35582,Tax Credit,2010,33572,313,81.9,DC Fast Charging,0.7,Good,12617,0.076,3404,54.4,Level 2,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,55-64,Very Satisfied,Maybe
EV0004918,2022,12,Q4,Pakistan,Urban,Tesla,Cybertruck,Plug-in Hybrid (PHEV),SUV,Individual,48469,None,0,48469,120,17.9,Workplace Charging,5.6,Poor,20029,0.034,839,68.7,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Range Anxiety,Female,55-64,Neutral,No
EV0004919,2021,7,Q3,USA,Suburban,Kia,EV6,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,48495,Direct Subsidy,14178,34317,310,57.7,Workplace Charging,7.1,Excellent,13610,0.078,3643,45.4,Level 1,Lower Running Cost,Diesel ICE,Charging Infrastructure,Male,18-24,Very Satisfied,Yes
EV0004920,2022,12,Q4,India,Urban,BYD,Seal,Battery Electric Vehicle (BEV),Sedan,Government,27978,None,0,27978,380,90.7,Home Charging,9.6,Average,15820,0.046,1888,51.7,Level 0,Lower Running Cost,Hybrid,Charging Infrastructure,Male,35-44,Satisfied,Yes
EV0004921,2023,8,Q3,China,Urban,Hyundai,Kona Electric,Battery Electric Vehicle (BEV),Sedan,Individual,40156,None,0,40156,619,54.1,Home Charging,10.2,Very Poor,13433,0.075,2419,57.3,Level 2+,Environmental Concern,Hybrid,Charging Infrastructure,Male,25-34,Satisfied,Yes
EV0004922,2024,3,Q1,China,Urban,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Sedan,Individual,41985,Multiple Incentives,17951,24034,436,102.0,Public AC Charging,4.4,Good,21540,0.072,3159,79.6,Level 1,Lower Running Cost,First Vehicle,Resale Value,Male,25-34,Dissatisfied,Yes
EV0004923,2022,4,Q2,UK,Suburban,MG Motor,MG ZS EV,Battery Electric Vehicle (BEV),Hatchback,Government,18977,Direct Subsidy,6617,12360,275,43.3,DC Fast Charging,0.7,Good,13155,0.061,2104,75.6,Level 3,Environmental Concern,Diesel ICE,Charging Infrastructure,Male,55-64,Satisfied,Yes
EV0004924,2023,11,Q4,Japan,Suburban,Volkswagen,ID.3,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,43718,None,0,43718,434,50.8,Home Charging,7.3,Good,23032,0.02,2480,53.9,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Very Satisfied,Yes
EV0004925,2022,3,Q1,Germany,Urban,Hyundai,IONIQ 5,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,41808,Direct Subsidy,10698,31110,71,16.4,Home Charging,9.0,Excellent,47403,0.041,1118,57.2,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,High Price,Male,45-54,Satisfied,Maybe
EV0004926,2021,4,Q2,Germany,Urban,Nissan,Leaf,Battery Electric Vehicle (BEV),Sports Car,Fleet/Corporate,40045,Tax Credit,2121,37924,523,43.1,Home Charging,10.6,Good,14953,0.068,2001,66.0,Level 2,Environmental Concern,Another EV,Range Anxiety,Female,25-34,Very Satisfied,Yes
EV0004927,2022,4,Q2,Germany,Urban,Audi,e-tron,Hybrid Electric (HEV),Sedan,Fleet/Corporate,65365,None,0,65365,20,6.0,Supercharger Network,0.7,Excellent,22085,0.043,151,67.7,Level 2,Brand Image,Petrol/Gasoline ICE,Range Anxiety,Female,45-54,Very Satisfied,Yes
EV0004928,2024,7,Q3,Brazil,Rural,BYD,Dolphin,Battery Electric Vehicle (BEV),Sedan,Fleet/Corporate,23920,Multiple Incentives,17776,6144,462,41.8,Home Charging,8.8,Average,41642,0.071,2491,71.6,Level 2+,Environmental Concern,Hybrid,High Price,Female,25-34,Very Satisfied,Yes
EV0004929,2024,12,Q4,Australia,Urban,Hyundai,IONIQ 6,Hybrid Electric (HEV),Sedan,Individual,36452,Direct Subsidy,9227,27225,31,4.8,Public AC Charging,4.0,Average,32200,0.081,415,76.6,Level 1,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Female,35-44,Satisfied,Yes
EV0004930,2023,7,Q3,China,Urban,Rivian,R1S,Battery Electric Vehicle (BEV),Van/MPV,Fleet/Corporate,74017,Direct Subsidy,11925,62092,521,71.4,Public AC Charging,5.6,Good,16519,0.087,2648,48.8,Level 2,Corporate Policy,Petrol/Gasoline ICE,Range Anxiety,Female,25-34,Very Satisfied,Maybe
EV0004931,2022,7,Q3,Japan,Rural,Audi,e-tron GT,Plug-in Hybrid (PHEV),Hatchback,Individual,54610,Tax Credit,6398,48212,93,16.3,Home Charging,11.9,Average,36073,0.039,1232,55.5,Level 2+,Environmental Concern,Petrol/Gasoline ICE,High Price,Male,45-54,Very Satisfied,Yes
EV0004932,2022,4,Q2,France,Suburban,Mercedes-Benz,EQE,Plug-in Hybrid (PHEV),Sedan,Individual,76209,Tax Credit,3820,72389,107,15.0,Home Charging,6.6,Excellent,14388,0.07,656,56.8,Level 1,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Male,18-24,Very Satisfied,Maybe
EV0004933,2024,5,Q2,China,Urban,Nissan,Ariya,Plug-in Hybrid (PHEV),SUV,Government,31262,Reduced Registration Fee,648,30614,98,23.3,DC Fast Charging,0.3,Poor,17276,0.051,1393,65.4,Level 2,Lower Running Cost,Another EV,Charging Infrastructure,Female,65+,Dissatisfied,Yes
EV0004934,2023,9,Q3,China,Suburban,BYD,Seal,Battery Electric Vehicle (BEV),SUV,Individual,31301,Reduced Registration Fee,2018,29283,363,74.4,Supercharger Network,1.0,Good,10639,0.097,3127,51.8,Level 1,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Very Satisfied,Yes
EV0004935,2024,9,Q3,Netherlands,Rural,BYD,Atto 3,Battery Electric Vehicle (BEV),SUV,Individual,28980,Direct Subsidy,12206,16774,302,109.1,Home Charging,11.7,Good,38515,0.028,3420,69.4,Level 0,Government Incentive,Diesel ICE,None/No Concern,Male,35-44,Satisfied,Yes
EV0004936,2022,11,Q4,Australia,Rural,Tesla,Model S,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,53015,Tax Credit,2725,50290,655,95.9,Supercharger Network,0.4,Good,11345,0.025,3026,60.7,Level 3,Lower Running Cost,Diesel ICE,Range Anxiety,Male,25-34,Satisfied,Yes
EV0004937,2024,3,Q1,India,Urban,Tesla,Model S,Hybrid Electric (HEV),Hatchback,Individual,33596,Reduced Registration Fee,1341,32255,41,2.7,Home Charging,7.9,Good,30571,0.085,685,78.6,Level 1,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,25-34,Very Satisfied,No
EV0004938,2024,4,Q2,USA,Urban,Volkswagen,ID.Buzz,Battery Electric Vehicle (BEV),Pickup Truck,Individual,40263,None,0,40263,562,81.5,Workplace Charging,7.1,Average,14253,0.09,3996,53.9,Level 2+,Performance,Petrol/Gasoline ICE,High Price,Male,55-64,Very Satisfied,Maybe
EV0004939,2024,4,Q2,Pakistan,Urban,BYD,Tang,Hybrid Electric (HEV),Sedan,Fleet/Corporate,26145,Tax Credit,6690,19455,32,7.2,Home Charging,6.2,Average,30803,0.031,745,72.7,Level 2+,Government Incentive,Diesel ICE,High Price,Female,35-44,Satisfied,Yes
EV0004940,2023,1,Q1,USA,Rural,Mercedes-Benz,EQA,Hybrid Electric (HEV),Hatchback,Individual,63651,Tax Credit,4973,58678,42,3.7,DC Fast Charging,1.4,Good,16849,0.09,548,68.8,Level 3,Technology Appeal,Diesel ICE,High Price,Female,25-34,Dissatisfied,Yes
EV0004941,2024,3,Q1,Italy,Suburban,BMW,i3,Battery Electric Vehicle (BEV),Sports Car,Fleet/Corporate,80185,None,0,80185,334,81.3,Home Charging,11.3,Average,33952,0.096,4301,73.7,Level 1,Lower Running Cost,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Very Satisfied,Yes
EV0004942,2022,6,Q2,France,Suburban,Tesla,Model X,Battery Electric Vehicle (BEV),Sedan,Individual,41931,Multiple Incentives,19096,22835,634,53.7,Home Charging,11.1,Good,11869,0.027,1675,73.8,Level 3,Technology Appeal,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Satisfied,Yes
EV0004943,2020,6,Q2,Japan,Urban,Renault,Kangoo E-Tech,Battery Electric Vehicle (BEV),Sedan,Individual,27948,None,0,27948,203,117.8,Home Charging,7.6,Average,14893,0.041,3462,47.8,Level 2+,Environmental Concern,Another EV,Range Anxiety,Male,25-34,Very Satisfied,Maybe
EV0004944,2020,9,Q3,Pakistan,Urban,Kia,EV6,Battery Electric Vehicle (BEV),Luxury,Individual,65556,Reduced Registration Fee,2112,63444,417,83.5,Home Charging,11.5,Excellent,10443,0.063,4431,68.5,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Neutral,Yes
EV0004945,2024,12,Q4,USA,Urban,BMW,i3,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,72438,Multiple Incentives,14229,58209,436,46.6,Home Charging,10.6,Good,10548,0.036,3310,78.0,Level 2+,Corporate Policy,Petrol/Gasoline ICE,High Price,Female,35-44,Neutral,Yes
EV0004946,2020,7,Q3,Pakistan,Urban,NIO,ES6,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,44321,Direct Subsidy,10422,33899,90,9.4,Public AC Charging,4.4,Good,26271,0.05,652,60.2,Level 2+,Environmental Concern,Diesel ICE,Charging Time,Male,25-34,Very Satisfied,Yes
EV0004947,2024,9,Q3,Italy,Urban,Tesla,Model S,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,52677,Reduced Registration Fee,1355,51322,698,119.6,Workplace Charging,7.7,Good,23722,0.036,2655,71.1,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Battery Life,Female,35-44,Very Satisfied,Yes
EV0004948,2024,5,Q2,South Korea,Rural,Volkswagen,ID.3,Battery Electric Vehicle (BEV),SUV,Individual,37825,Tax Credit,7247,30578,475,63.2,Home Charging,6.3,Average,18368,0.052,1929,64.4,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Male,25-34,Very Satisfied,No
EV0004949,2023,10,Q4,USA,Urban,Nissan,Ariya,Hybrid Electric (HEV),Sedan,Individual,31278,Direct Subsidy,6979,24299,35,3.6,Home Charging,10.4,Excellent,45523,0.1,474,69.2,Level 3,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,25-34,Satisfied,No
EV0004950,2023,1,Q1,UK,Suburban,BYD,Seal,Hybrid Electric (HEV),SUV,Fleet/Corporate,28793,Multiple Incentives,5182,23611,48,7.2,Home Charging,7.3,Average,15030,0.1,438,61.6,Level 2,Government Incentive,Hybrid,Range Anxiety,Male,25-34,Satisfied,Yes
EV0004951,2024,7,Q3,Germany,Rural,Rivian,R1S,Plug-in Hybrid (PHEV),SUV,Rideshare/Taxi,74844,Tax Credit,3803,71041,59,19.4,DC Fast Charging,1.0,Average,18568,0.081,891,55.1,Level 0,Government Incentive,Another EV,Battery Life,Female,25-34,Satisfied,Maybe
EV0004952,2023,1,Q1,South Korea,Suburban,BYD,Dolphin,Plug-in Hybrid (PHEV),Hatchback,Fleet/Corporate,22054,Direct Subsidy,6347,15707,93,17.9,Supercharger Network,0.4,Average,9109,0.052,1208,51.3,Level 2,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Satisfied,Yes
EV0004953,2023,5,Q2,India,Suburban,Chevrolet,Bolt EUV,Plug-in Hybrid (PHEV),Luxury,Individual,52501,None,0,52501,92,11.3,Home Charging,10.1,Very Poor,24125,0.076,1863,58.2,Level 1,Environmental Concern,Another EV,Resale Value,Female,35-44,Satisfied,Yes
EV0004954,2023,4,Q2,UK,Suburban,Lucid Motors,Air Pure,Battery Electric Vehicle (BEV),Sedan,Individual,93757,Tax Credit,4518,89239,614,94.0,Home Charging,7.1,Average,8935,0.1,2829,56.6,Level 3,Environmental Concern,Diesel ICE,Battery Life,Female,55-64,Satisfied,Maybe
EV0004955,2020,5,Q2,China,Suburban,Audi,e-tron,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,82842,Tax Credit,3822,79020,282,99.2,Workplace Charging,6.7,Excellent,25010,0.029,3943,52.9,Level 0,Performance,Petrol/Gasoline ICE,Battery Life,Male,35-44,Satisfied,Yes
EV0004956,2021,4,Q2,France,Urban,BYD,Dolphin,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,21206,Multiple Incentives,17319,3887,357,98.4,DC Fast Charging,0.6,Average,44679,0.092,3249,46.4,Level 2,Technology Appeal,Petrol/Gasoline ICE,Range Anxiety,Male,35-44,Neutral,Yes
EV0004957,2023,12,Q4,USA,Urban,BYD,Dolphin,Battery Electric Vehicle (BEV),SUV,Individual,31725,Multiple Incentives,15251,16474,266,49.0,Public AC Charging,4.4,Excellent,22955,0.02,3331,77.7,Level 1,Lower Running Cost,Petrol/Gasoline ICE,Charging Time,Female,35-44,Satisfied,No
EV0004958,2023,8,Q3,Germany,Rural,Nissan,Leaf,Battery Electric Vehicle (BEV),Hatchback,Individual,25581,None,0,25581,317,50.9,Home Charging,9.6,Excellent,34868,0.027,2218,55.5,Level 2,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,35-44,Very Satisfied,Maybe
EV0004959,2024,11,Q4,Germany,Suburban,BYD,Tang,Plug-in Hybrid (PHEV),Van/MPV,Fleet/Corporate,26477,Tax Credit,2641,23836,46,24.1,Workplace Charging,5.3,Poor,16621,0.099,1751,55.0,Level 2,Technology Appeal,First Vehicle,Range Anxiety,Male,25-34,Very Satisfied,Yes
EV0004960,2024,12,Q4,Germany,Suburban,Hyundai,Kona Electric,Plug-in Hybrid (PHEV),Pickup Truck,Individual,46327,Multiple Incentives,18085,28242,86,25.0,Home Charging,6.5,Average,24644,0.082,874,73.8,Level 3,Technology Appeal,Diesel ICE,High Price,Male,25-34,Satisfied,Yes
EV0004961,2024,5,Q2,USA,Rural,NIO,ET5,Battery Electric Vehicle (BEV),Van/MPV,Fleet/Corporate,47214,Direct Subsidy,6005,41209,539,86.1,DC Fast Charging,1.4,Poor,13614,0.03,3680,75.2,Level 1,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Dissatisfied,Yes
EV0004962,2023,11,Q4,Norway,Urban,Tesla,Cybertruck,Battery Electric Vehicle (BEV),Sedan,Government,40987,Free Charging,1782,39205,691,113.1,Public AC Charging,5.8,Good,7171,0.076,3168,54.6,Level 2,Lower Running Cost,Diesel ICE,None/No Concern,Male,35-44,Very Satisfied,Yes
EV0004963,2021,2,Q1,Australia,Urban,Tesla,Model 3,Battery Electric Vehicle (BEV),Van/MPV,Individual,45925,Reduced Registration Fee,2622,43303,736,113.2,Public AC Charging,5.9,Average,12721,0.097,3998,74.5,Level 2,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,35-44,Satisfied,Yes
EV0004964,2023,4,Q2,Canada,Urban,Tesla,Model Y,Hybrid Electric (HEV),Hatchback,Individual,37363,Direct Subsidy,5591,31772,43,6.0,DC Fast Charging,0.3,Good,44551,0.059,235,76.3,Level 2+,Environmental Concern,Diesel ICE,Range Anxiety,Female,18-24,Very Satisfied,No
EV0004965,2023,3,Q1,Pakistan,Urban,Hyundai,Kona Electric,Battery Electric Vehicle (BEV),Sedan,Individual,40875,Tax Credit,6168,34707,581,91.7,Home Charging,10.0,Good,33739,0.079,2241,56.1,Level 2,Lower Running Cost,Petrol/Gasoline ICE,High Price,Female,65+,Satisfied,Maybe
EV0004966,2024,12,Q4,USA,Urban,Lucid Motors,Air Pure,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,108859,Multiple Incentives,11672,97187,698,119.0,Home Charging,9.7,Good,15218,0.073,3569,67.7,Level 1,Government Incentive,Hybrid,Charging Infrastructure,Male,25-34,Dissatisfied,Yes
EV0004967,2021,5,Q2,UK,Suburban,BYD,Seal,Plug-in Hybrid (PHEV),Hatchback,Individual,24044,Multiple Incentives,14436,9608,75,8.4,DC Fast Charging,1.3,Good,20899,0.047,834,49.9,Level 2,Technology Appeal,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Satisfied,Yes
EV0004968,2024,1,Q1,China,Urban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,26818,Multiple Incentives,6596,20222,418,42.2,Supercharger Network,1.0,Average,19912,0.032,3127,59.0,Level 2,Brand Image,Diesel ICE,Charging Infrastructure,Female,35-44,Very Dissatisfied,Yes
EV0004969,2024,7,Q3,Japan,Urban,Tesla,Model Y,Battery Electric Vehicle (BEV),SUV,Rideshare/Taxi,45484,Free Charging,797,44687,496,104.6,Home Charging,9.7,Good,9987,0.092,3916,48.8,Level 3,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Female,25-34,Satisfied,No
EV0004970,2021,6,Q2,USA,Rural,Nissan,Leaf,Battery Electric Vehicle (BEV),Sports Car,Individual,40427,None,0,40427,573,88.3,Workplace Charging,7.6,Excellent,28737,0.034,4006,76.1,Level 2+,Environmental Concern,Petrol/Gasoline ICE,None/No Concern,Female,25-34,Very Satisfied,Yes
EV0004971,2022,7,Q3,USA,Urban,Tesla,Cybertruck,Battery Electric Vehicle (BEV),SUV,Government,47832,Tax Credit,4152,43680,717,59.0,Home Charging,8.9,Excellent,15282,0.117,1967,76.2,Level 0,Brand Image,Petrol/Gasoline ICE,Resale Value,Male,45-54,Satisfied,Yes
EV0004972,2024,2,Q1,Germany,Urban,BMW,i4,Hybrid Electric (HEV),Pickup Truck,Individual,78952,Multiple Incentives,8902,70050,35,2.4,DC Fast Charging,0.6,Poor,25849,0.054,603,46.7,Level 2,Technology Appeal,Another EV,None/No Concern,Male,45-54,Satisfied,Yes
EV0004973,2023,1,Q1,Denmark,Rural,Tesla,Model Y,Battery Electric Vehicle (BEV),Sedan,Rideshare/Taxi,40531,Multiple Incentives,14241,26290,844,70.2,DC Fast Charging,1.4,Good,27526,0.088,4025,56.6,Level 2+,Brand Image,First Vehicle,Resale Value,Female,25-34,Neutral,No
EV0004974,2021,10,Q4,India,Urban,BYD,Tang,Hybrid Electric (HEV),Pickup Truck,Individual,32201,Reduced Registration Fee,1370,30831,45,4.2,Public AC Charging,2.4,Average,33087,0.116,742,68.4,Level 2,Lower Running Cost,Diesel ICE,Battery Life,Female,25-34,Neutral,Maybe
EV0004975,2022,1,Q1,UK,Rural,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Van/MPV,Individual,64720,None,0,64720,567,69.1,Workplace Charging,6.4,Very Poor,24100,0.084,4093,77.6,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Charging Infrastructure,Prefer not to say,45-54,Very Satisfied,Maybe
EV0004976,2020,11,Q4,Austria,Suburban,Kia,EV9,Hybrid Electric (HEV),Sedan,Fleet/Corporate,42101,Reduced Registration Fee,881,41220,38,7.6,Home Charging,8.9,Good,17317,0.101,438,64.6,Level 2,Government Incentive,First Vehicle,Battery Life,Female,55-64,Satisfied,Yes
EV0004977,2020,12,Q4,China,Urban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),SUV,Government,41278,Tax Credit,2062,39216,408,112.9,Home Charging,6.7,Good,8840,0.101,2978,58.2,Level 2,Environmental Concern,Petrol/Gasoline ICE,High Price,Male,35-44,Satisfied,Yes
EV0004978,2023,11,Q4,USA,Suburban,Tesla,Model 3,Battery Electric Vehicle (BEV),Hatchback,Individual,33936,Multiple Incentives,12587,21349,693,40.0,DC Fast Charging,0.6,Good,37193,0.026,1750,56.7,Level 2,Technology Appeal,Petrol/Gasoline ICE,Range Anxiety,Female,45-54,Very Dissatisfied,Yes
EV0004979,2020,6,Q2,China,Suburban,Hyundai,IONIQ 6,Hybrid Electric (HEV),Van/MPV,Government,46261,Tax Credit,5613,40648,21,2.6,Supercharger Network,0.5,Good,17186,0.032,745,47.3,Level 0,Environmental Concern,Diesel ICE,Range Anxiety,Male,65+,Satisfied,No
EV0004980,2020,9,Q3,Norway,Suburban,BYD,Dolphin,Battery Electric Vehicle (BEV),Hatchback,Individual,23751,Tax Credit,5793,17958,546,86.8,Supercharger Network,0.8,Average,12364,0.069,4473,59.9,Level 2+,Brand Image,First Vehicle,Range Anxiety,Prefer not to say,18-24,Satisfied,Yes
EV0004981,2020,12,Q4,UK,Urban,Tesla,Model S,Battery Electric Vehicle (BEV),SUV,Individual,49094,Multiple Incentives,6518,42576,644,92.4,DC Fast Charging,1.2,Average,22184,0.095,2216,55.3,Level 3,Lower Running Cost,Hybrid,Battery Life,Female,35-44,Satisfied,Yes
EV0004982,2024,5,Q2,Austria,Suburban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),SUV,Individual,35136,Direct Subsidy,5682,29454,413,118.6,Home Charging,9.6,Very Poor,17057,0.052,3806,64.1,Level 2,Environmental Concern,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Very Satisfied,Yes
EV0004983,2021,8,Q3,Denmark,Urban,Tata Motors,Nexon EV,Battery Electric Vehicle (BEV),Sedan,Individual,16788,Tax Credit,4374,12414,248,100.7,Home Charging,6.8,Average,23956,0.052,3218,68.0,Level 2,Performance,Hybrid,Resale Value,Male,35-44,Very Satisfied,Maybe
EV0004984,2022,7,Q3,USA,Suburban,Mercedes-Benz,EQS,Battery Electric Vehicle (BEV),Sedan,Individual,81042,Multiple Incentives,13749,67293,532,96.7,Public AC Charging,4.9,Average,16378,0.066,2894,56.7,Level 2+,Government Incentive,Petrol/Gasoline ICE,Resale Value,Female,25-34,Dissatisfied,Yes
EV0004985,2021,3,Q1,Australia,Suburban,Stellantis,Jeep Avenger,Battery Electric Vehicle (BEV),Van/MPV,Fleet/Corporate,30539,Multiple Incentives,12785,17754,309,54.0,DC Fast Charging,1.3,Good,15246,0.091,3234,70.0,Level 2+,Environmental Concern,Hybrid,Resale Value,Male,45-54,Dissatisfied,Yes
